symbol, n_gaps, training_time, test_loss, test_acc, test_auc, test_f1, r2
FE,41,3.022458076477051,0.6700580716133118,0.6666666865348816,0.75,0.0,-0.07316211054537503
FFIV,80,5.398238897323608,0.6956497430801392,0.5625,0.3515625,0.2222221940755844,-0.0050013164240865216
FIS,48,3.480386972427368,0.671633243560791,0.699999988079071,0.3571428656578064,0.0,-0.13930401698708783
FISV,63,4.910003900527954,0.6862357258796692,0.6153846383094788,0.23749999701976776,0.0,-0.041632256984389215
FITB,114,15.757569789886475,0.6823102831840515,0.6521739363670349,0.5401785373687744,0.7333332300186157,-0.14595146280076676
FLT,83,5.070981025695801,0.7294312119483948,0.29411765933036804,0.48333337903022766,0.0,-0.29133005951425406
FMC,110,22.659821033477783,1.1040549278259277,0.3181818127632141,0.41025641560554504,0.4444444477558136,-0.6615210653429615
FOX,104,18.33273410797119,0.7764481902122498,0.3333333432674408,0.5969387888908386,0.4615384042263031,-0.29767061397901773
FOXA,125,5.271316766738892,0.6860535144805908,0.5600000023841858,0.535714328289032,0.0,-0.0002510590126276746
FRC,78,5.430680751800537,0.6932761073112488,0.5,0.3888888955116272,0.19999995827674866,-0.016132222371961324
FRT,56,3.8849539756774902,0.8505622744560242,0.25,0.31481480598449707,0.0,-0.743555287031002
FTNT,119,5.667362928390503,0.7228261828422546,0.4166666865348816,0.5178571343421936,0.5882352590560913,-0.0892042454856008
FTV,66,7.154988050460815,0.6890496015548706,0.5,0.43333330750465393,0.2222221940755844,-0.08003768909003339
GD,50,3.2874650955200195,0.7745607495307922,0.30000001192092896,0.7857142686843872,0.0,-0.38235427694867274
GE,104,5.4360740184783936,0.6853213906288147,0.5714285969734192,0.5046296119689941,0.0,-0.004683369607024757
GILD,55,4.167243003845215,0.7415521144866943,0.3636363744735718,0.196428582072258,0.0,-0.1841917410880496
GIS,36,3.1312639713287354,0.6628676652908325,0.625,0.4333333373069763,0.7692307233810425,-0.0027168268300272747
GL,49,3.489795684814453,0.7044159770011902,0.5,0.46000000834465027,0.0,-0.022279119974633277
GLW,69,6.788241863250732,0.6505700945854187,0.6428571939468384,0.644444465637207,0.0,0.0025732315354320967
GM,96,4.7874979972839355,0.7764443755149841,0.3499999940395355,0.29120880365371704,0.0,-0.2790498013633962
GNRC,150,8.232923984527588,0.6852816343307495,0.5666667222976685,0.5565611124038696,0.0,-0.002144332597846743
GOOG,64,5.816577911376953,0.7135510444641113,0.23076924681663513,0.38750001788139343,0.2857142388820648,-0.09932643570160793
GOOGL,68,5.449381113052368,0.6729733347892761,0.6428571939468384,0.5,0.0,-0.04506295188577658
GPC,53,4.8764379024505615,0.6779642105102539,0.7272727489471436,0.8571428656578064,0.3999999463558197,-0.04756668577930867
GPN,85,4.907547950744629,0.6967688798904419,0.47058823704719543,0.4444444179534912,0.6399999260902405,-0.010730532890681266
GPS,195,7.624281883239746,0.6855976581573486,0.6153846383094788,0.5199999809265137,0.07692306488752365,-0.07004144687484515
GRMN,62,6.94242787361145,0.7044429183006287,0.5384615659713745,0.3214285969734192,0.699999988079071,-0.0282385375584584
GS,71,7.17209005355835,0.7046230435371399,0.3333333432674408,0.3928571343421936,0.2857142388820648,-0.027498821927850026
GWW,69,4.477564811706543,0.7811881303787231,0.4285714626312256,0.25,0.5999999642372131,-0.19395942639814878
HAL,180,20.134867906570435,0.883624255657196,0.4444444477558136,0.4204545319080353,0.4258064031600952,-0.37890200364740156
HAS,78,14.7224600315094,0.6997133493423462,0.5625,0.5546875,0.6666666269302368,-0.017031835217765634
HBAN,111,15.863511085510254,0.8361123204231262,0.52173912525177,0.4484127163887024,0.559999942779541,-0.30691111037044894
HBI,165,9.978432893753052,0.7031188607215881,0.4545454680919647,0.5592592358589172,0.0,-0.028390442928106552
HCA,104,7.935824155807495,0.6578885912895203,0.6190476417541504,0.7836538553237915,0.7647058367729187,0.013684901935317795
HD,46,3.293955087661743,0.7457057237625122,0.30000001192092896,0.4761905074119568,0.0,-0.3150046938445372
HES,237,8.212223052978516,0.690198540687561,0.6041666865348816,0.5617283582687378,0.6833332777023315,-0.009883545318597031
HIG,79,4.8328330516815186,0.708315908908844,0.4375,0.6666666865348816,0.6086956262588501,-0.0466042955774828
HII,84,4.6494269371032715,0.7054598331451416,0.47058823704719543,0.3819444179534912,0.6399999260902405,-0.028062232298105005
HLT,100,6.4230241775512695,0.6912409067153931,0.550000011920929,0.46969693899154663,0.0,-0.006189376886331255
HOLX,84,7.365600824356079,0.6772533655166626,0.529411792755127,0.7083333730697632,0.6923076510429382,0.027847567142277097
HON,52,6.471719264984131,0.7176340222358704,0.3636363744735718,0.75,0.5333333015441895,-0.1331392913105498
HPE,124,5.97555685043335,0.721117377281189,0.5600000023841858,0.4642857313156128,0.0,-0.06507333450387853
HPQ,95,4.805999755859375,0.6787227988243103,0.6842105388641357,0.31410256028175354,0.0,-0.12368988626105293
HRL,43,3.1997272968292236,0.6437691450119019,0.7777777910232544,0.0,0.0,-0.3040047840648652
HSIC,76,4.857353925704956,0.7273766994476318,0.375,0.6166666150093079,0.0,-0.13932723865828245
HST,135,7.040610074996948,0.6831094026565552,0.7037037014961243,0.6833333373069763,0.7894736528396606,0.007814196461377598
HSY,31,3.819305896759033,0.6797816753387451,0.5714285969734192,0.9166666269302368,0.7272727489471436,0.005563111156189793
HUM,74,6.442982912063599,0.6991778016090393,0.5333333611488342,0.4375,0.0,-0.01623314563340439
HWM,73,7.5705649852752686,0.7212097644805908,0.2666666805744171,0.6363636255264282,0.42105263471603394,-0.34987424578925586
IBM,59,5.53491997718811,0.650326132774353,0.6666666865348816,0.265625,0.0,-0.02873720449165451
ICE,46,13.395010709762573,0.7396933436393738,0.6000000238418579,1.0,0.714285671710968,-1.9743891006304657
IDXX,75,13.029959917068481,0.6424877047538757,0.8000000715255737,0.5925925970077515,0.8571428060531616,0.06412797505615653
IEX,53,5.6508119106292725,0.9449818730354309,0.1818181872367859,0.4444444477558136,0.0,-1.496892437071192
IFF,62,5.2693939208984375,0.7629051208496094,0.23076924681663513,0.13333332538604736,0.0,-0.6038856825674346
ILMN,123,6.040651082992554,0.6752732992172241,0.5999999642372131,0.4099999666213989,0.0,-0.004541217488274407
INCY,168,24.30043387413025,0.7769914865493774,0.529411792755127,0.6423611044883728,0.2083333134651184,-0.07489213581705112
